category,glass_name,nasal_engraving,glass_index,material,glass_supplier_name,image_engraving
verres_progressifs,eterea_blue_natural_fotocolor_fotochroma_transition_xtractive_fotocar_speedy_polarisant,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,1.5,org,divel_france,True
verres_progressifs,eterea_blue_natural_fotocolor_transition_xtractive_polarisant,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,1.6,org,divel_france,True
verres_progressifs,eterea_blue_natural_transition_polarisant,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,1.67,org,divel_france,True
verres_progressifs,aliena_blue_natural_fotocolor_fotochroma_transition_xtractive_fotocar_speedy_polarisant,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,1.5,org,divel_france,True
verres_progressifs,neomade_16_167,7n2,1.67,org ar blanc/couleur - trans. - photo - pola,indo_optical_france,False
verres_progressifs,neomade_19_167,7n1,1.67,org ar blanc/couleur - trans. - photo - pola,indo_optical_france,False
verres_progressifs,neomade_22_167,7n0,1.67,org ar blanc/couleur - trans. - photo - pola,indo_optical_france,False
verres_progressifs,neomade_16_16,6n2,1.6,org ar blanc/couleur - trans. - photo - pola,indo_optical_france,False
verres_progressifs,neomade_19_16,6n1,1.6,org ar blanc/couleur - trans. - photo - pola,indo_optical_france,False
verres_progressifs,neomade_22_16,6n0,1.6,org ar blanc/couleur - trans. - photo - pola,indo_optical_france,False
verres_progressifs,neomade_16_15,5n2,1.5,org ar blanc/couleur - trans. - xtractive - photo,indo_optical_france,False
verres_progressifs,neomade_19_15,5n1,1.5,org ar blanc/couleur - trans. - xtractive - photo,indo_optical_france,False
verres_progressifs,neomade_22_15,5n0,1.5,org ar blanc/couleur - trans. - xtractive - photo,indo_optical_france,False
verres_progressifs_made_in_france,perception,per,1.50 / 1.60 / 1.67,org,hephilens,False
verres_progressifs_made_in_france,perception_770,per7,1.5 / 1.60 / 1.67 / 1.74,org,hephilens,False
verres_progressifs_made_in_france,perception_770,per7,1.59,poly,hephilens,False
verres_progressifs_made_in_france,myoshield,myo,1.59,poly,hephilens,False
verres_progressifs_made_in_france,myoshield,myo,1.5 / 1.60 / 1.67 / 1.74,org,hephilens,False
verres_progressifs_made_in_france,perception,per,1.59,poly,hephilens,False
verres_freinateur_de_myopie,myoshield,myo,1.59,poly,hephilens,False
verres_freinateur_de_myopie,myoshield,myo,1.5 / 1.60 / 1.67 / 1.74,org,hephilens,False
verres_freinateur_de_myopie,perception,per,1.59,poly,hephilens,False
uncategorized,camber_freestyle,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,org,hephilens,False
uncategorized,camber_freestyle,,1.53,tvx,hephilens,False
uncategorized,camber_freestyle,,1.59,poly,hephilens,False
uncategorized,innovator_individual,,1.53,tvx,hephilens,False
verres_progressifs,variovid_cat4_blanc_esm_transitions_transitions_xtractive_polarisant,https://si.france-optique.com/img/gravures/nasal/web_1824-nas-leica-V4L.tif.jpg,1.5,org,leica_eyecare,True
uncategorized,absolu_urbain_15_blanc_x400_xblue_transitions_gens_transitions_xtractive_pola_pol_dgrad_pola_drw,abu,1.50,org,mega_optic,False
progressif_free-form_personnalisé,integral_ou_integral_ip_150_transitions,https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,1.5,org,mont_royal,True
verres_de_proximité,premid_160,,1.60,org,ophtalmic_compagnie,False
verres_progressifs,yuniku_progressive_eyvia_174_uv20_11_16mm_blanc,yp_7,1.74,org blanc,hoya_vision_care_france,False
verres_progressifs,presio_touch_15_150,t n15,1.50,org,nikon_verres_optiques,False
verres_progressifs,presio_touch_15_160,t n35,1.60,org,nikon_verres_optiques,False
