category,glass_name,nasal_engraving,glass_index,material,glass_supplier_id,glass_supplier_name,image_engraving
"Progressif tous usages ""Free-Form Full Back Side""","Premier 1,5",PRE5,1.5,CR 39,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Premier 1,6",PRE6,1.61,MR8,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Classic 1,5",CLA5,1.5,CR 39,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Classic 1,6",CLA6,1.61,MR8,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Classic 1,67",CLA7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Morpho 1,5",MPH6,1.5,CR39,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Morpho 1,6",MPH6,1.61,MR8,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Morpho 1,67",MPH7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Sensation 1,5",SEN5,1.5,CR39,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Sensation 1,6",SEN6,1.61,MR8,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Sensation 1,67",SEN7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Bifocal 1,5",BI5,1.5,CR39,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Bifocal 1,6",BI6,1.61,MR8,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Bifocal 1,67",BI7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",Proximit,PRX5,1.5,CR39,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",Proximit,PRX6,1.61,MR8,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",Proximit,PRX7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",D,DET5,1.5,ORG,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",D,DET6,1.61,MR8,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",D,DET7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Bifocal 1,74",B14,1.74,MR174,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Morpho 1,74",MPH4,1.74,MR174,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Sensation 1,74",SEN4,1.74,MR174,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Classic 1,5",CLA5,1.5,CR 39,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Classic 1,6",CLA6,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Classic 1,67",CLA7,1.67,MR10,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Morpho 1,5",MPH6,1.5,CR39,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Morpho 1,6",MPH6,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Morpho 1,67",MPH7,1.67,MR10,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Sensation 1,5",SEN5,1.5,CR39,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Sensation 1,6",SEN6,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Sensation 1,67",SEN7,1.67,MR10,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Bifocal 1,5",BI5,1.5,CR39,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Bifocal 1,6",BI6,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Bifocal 1,67",BI7,1.67,MR10,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",Proximit,PRX5,1.5,CR39,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",Proximit,PRX6,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",Proximit,PRX7,1.67,MR10,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",D,DET5,1.5,ORG,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",D,DET6,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",D,DET7,1.67,MR10,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Bifocal 1,74",B14,1.74,MR174,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Morpho 1,74",MPH4,1.74,MR174,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Sensation 1,74",SEN4,1.74,MR174,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,5",MPH6,1.5,CR39,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,6",MPH6,1.61,MR8,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,67",MPH7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Sensation 1,5",SEN5,1.5,CR39,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Sensation 1,6",SEN6,1.61,MR8,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Sensation 1,67",SEN7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Bifocal 1,5",BI5,1.5,CR39,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Bifocal 1,6",BI6,1.61,MR8,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Bifocal 1,67",BI7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",Proximit,PRX5,1.5,CR39,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",Proximit,PRX6,1.61,MR8,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",Proximit,PRX7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",D,DET5,1.5,ORG,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",D,DET6,1.61,MR8,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",D,DET7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Bifocal 1,74",B14,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,74",MPH4,1.74,MR174,2399,ADN OPTIS,
