base_name,treatments,glass_index,material,supplier,engraving_url,source_url,local_image_path
ETEREA,Blue Natural|Fotocolor|Fotochroma|Transition|Xtractive|Fotocar|Speedy|Polarisant,1.5,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ETEREA,Blue Natural|Fotocolor|Transition|Xtractive|Polarisant,1.6,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ETEREA,Blue Natural|Transition|Polarisant,1.67,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ALIENA,Blue Natural|Fotocolor|Fotochroma|Transition|Xtractive|Fotocar|Speedy|Polarisant,1.5,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ALIENA,Blue Natural|Fotocolor|Transition|Xtractive|Polarisant,1.6,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ALIENA,Blue Natural|Transition|Polarisant,1.67,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ALIENA,Blue Natural|Transition,1.74,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ACLEAR,Blue Natural|Fotocolor|Fotochroma|Transition|Xtractive|Fotocar|Speedy|Polarisant,1.5,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ACLEAR,Blue Natural|Fotocolor|Transition|Xtractive|Polarisant,1.6,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ACLEAR,Blue Natural|Transition|Polarisant,1.67,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ACLEAR,Blue Natural|Transition,1.74,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
GEMINI,Blue Natural|Polarisant,1.5,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1810-nas-3symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
GEMINI,Blue Natural|Polarisant,1.6,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1810-nas-3symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
GEMINI,Blue Natural|Polarisant,1.67,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1810-nas-3symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
GEMINI,Blue Natural,1.74,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1810-nas-3symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ACLEAR OFFICE,Blue Natural,1.5,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1811-octo.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
ACLEAR OFFICE,Blue Natural,1.6,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1811-octo.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
SERENA+,Blue Natural|Fotocolor|Transition,1.5,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1811-octo.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
SERENA+,Blue Natural|Fotocolor|Transition,1.6,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1811-octo.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
SERENA+,Blue Natural|Fotocolor|Transition,1.67,ORG,DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1811-octo.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,
